1007,D,5/26/17,0.82,0.825,0.820,0.820,658,0
1007PA,D,5/26/17,0.4,0.410,0.400,0.410,167,0
7051,D,5/26/17,0.38,0.380,0.380,0.380,22,0
7031,D,5/26/17,0.635,0.630,0.630,0.630,1,0
6351,D,5/26/17,7.75,7.830,7.750,7.810,269,0
7083,D,5/26/17,2.250,2.250,2.250,2.250,110,0
4758,D,5/26/17,0.81,0.805,0.760,0.765,18168,0
0048,D,5/26/17,0.125,0.120,0.120,0.120,5525,0
6556,D,5/26/17,3.19,3.300,3.150,3.200,25163,0
6556CC,D,5/26/17,0.235,0.255,0.225,0.235,53386,0
6556CD,D,5/26/17,0.185,0.210,0.180,0.190,39468,0
6556PA,D,5/26/17,1.97,2.040,1.970,2.010,2658,0
9342,D,5/26/17,0.23,0.245,0.220,0.235,433025,0
9342OR,D,5/26/17,0.045,0.025,0.010,0.010,1093972,0
9342WA,D,5/26/17,0.105,0.105,0.090,0.100,13399,0
9342WB,D,5/26/17,0.1,0.105,0.100,0.100,5060,0
5568,D,5/26/17,1.06,1.06,1.06,1.06,0,0
5088,D,5/26/17,1.8,1.800,1.770,1.780,438,0
5194,D,5/26/17,0.04,0.040,0.040,0.040,16933,0
5194WA,D,5/26/17,0.015,0.015,0.015,0.015,0,0
5015,D,5/26/17,4.140,4.140,4.140,4.140,23,0
6432,D,5/26/17,5.0,5.000,4.970,4.970,20,0
0119,D,5/26/17,0.38,0.380,0.360,0.365,7411,0
0119WA,D,5/26/17,0.26,0.265,0.255,0.260,12925,0
7214,D,5/26/17,1.08,1.080,1.060,1.060,3101,0
7007,D,5/26/17,0.7,0.7,0.7,0.7,0,0
7007WB,D,5/26/17,0.09,0.09,0.09,0.09,0,0
5210,D,5/26/17,0.78,0.775,0.740,0.755,176270,0
521020,D,5/26/17,0.1,0.1,0.1,0.1,0,0
521021,D,5/26/17,0.04,0.04,0.04,0.04,0,0
521022,D,5/26/17,0.015,0.015,0.010,0.010,4610,0
521023,D,5/26/17,0.075,0.070,0.060,0.065,16400,0
521024,D,5/26/17,0.2,0.195,0.175,0.185,27272,0
521025,D,5/26/17,0.145,0.145,0.145,0.145,0,0
521026,D,5/26/17,0.065,0.060,0.055,0.055,9400,0
521027,D,5/26/17,0.075,0.070,0.065,0.065,9057,0
5127,D,5/26/17,0.955,0.960,0.955,0.960,3856,0
1481,D,5/26/17,0.17,0.170,0.165,0.170,7931,0
1481LA,D,5/26/17,0.085,0.085,0.080,0.080,1805,0
0068,D,5/26/17,0.3,0.275,0.260,0.260,1775,0
