<Name>,<TICKER>,<PER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DUFU TECHNOLOGY CORP. BERHAD (7233.KL),DUFU.KL,D,20170512,1.4200,1.5200,1.4100,1.5200,51375,0
EKSONS CORPORATION BERHAD [S] (9016.KL),EKSONS.KL,D,20170512,1.0100,1.0100,1.0100,1.0100,0,0
EONMETALL GROUP BERHAD [S] (7217.KL),EMETALL.KL,D,20170512,0.6250,0.6300,0.6250,0.6300,1500,0
EP MANUFACTURING BHD [S] (7773.KL),EPMB.KL,D,20170512,0.6850,0.7050,0.6750,0.7050,745,0
EVERGREEN FIBREBOARD BERHAD [S] (5101.KL),EVERGRN.KL,D,20170512,0.8900,0.8950,0.8800,0.8900,28990,0
FACB INDUSTRIES INCORPORATED BERHAD (2984.KL),FACBIND.KL,D,20170512,1.2000,1.2000,1.1900,1.2000,360,0
FAVELLE FAVCO BERHAD [S] (7229.KL),FAVCO.KL,D,20170512,2.8200,2.8200,2.7900,2.7900,1223,0
FCW HOLDINGS BERHAD [S] (2755.KL),FCW.KL,D,20170512,0.8400,0.8400,0.8400,0.8400,114,0
FIBON BERHAD (0149.KL),FIBON.KL,D,20170512,0.6950,0.7000,0.6900,0.6950,2818,0
FIMA CORPORATION BERHAD [S] (3107.KL),FIMACOR.KL,D,20170512,2.2100,2.2200,2.2000,2.2200,161,0
FOCUS LUMBER BERHAD [S] (5197.KL),FLBHD.KL,D,20170512,1.7300,1.7300,1.7000,1.7100,9768,0
FPGROUP,FPGROUP.KL,D,20170512,0.8050,0.8400,0.8000,0.8250,58309,0
GLOBALTEC FORMATION BERHAD (5220.KL),GLOTEC.KL,D,20170512,0.0600,0.0650,0.0550,0.0600,1213966,0
GOH BAN HUAT BERHAD [S] (3611.KL),GBH.KL,D,20170512,1.3400,1.3400,1.3400,1.3400,0,0
GOPENG BERHAD [S] (2135.KL),GOPENG.KL,D,20170512,1.3000,1.3000,1.3000,1.3000,875,0
GUH HOLDINGS BERHAD [S] (3247.KL),GUH.KL,D,20170512,0.9200,0.9250,0.9150,0.9250,789,0
